user,activity,timestamp,x-acceleration,y-accel,z-accel;

33,Jogging,49105962326000,-0.6946377,12.680544,0.50395286;
33,Jogging,49106062271000,5.012288,11.264028,0.95342433;
33,Jogging,49106112167000,4.903325,10.882658,-0.08172209;
33,Jogging,49106222305000,-0.61291564,18.496431,3.0237172;
33,Jogging,49106332290000,-1.1849703,12.108489,7.205164;
33,Jogging,49106442306000,1.3756552,-2.4925237,-6.510526;
33,Jogging,49106542312000,-0.61291564,10.56939,5.706926;
33,Jogging,49106652389000,-0.50395286,13.947236,7.0553403;
33,Jogging,49106762313000,-8.430995,11.413852,5.134871;
33,Jogging,49106872299000,0.95342433,1.3756552,1.6480621;
33,Jogging,49106982315000,-8.19945,19.57244,2.7240696;
33,Jogging,49107092330000,1.4165162,5.7886477,2.982856;
33,Jogging,49107202316000,-1.879608,-2.982856,-0.29964766;
33,Jogging,49107312332000,-6.1291566,6.851035,-8.158588;
33,Jogging,49107422348000,5.829509,18.0061,8.539958;
33,Jogging,49107522293000,6.2789803,2.982856,2.9147544;
33,Jogging,49107632339000,-1.56634,8.308413,-1.4573772;
33,Jogging,49107742355000,3.5276701,13.593107,9.425281;
33,Jogging,49107852340000,-2.0294318,-5.706926,-10.18802;
33,Jogging,49107962326000,2.7649305,10.337844,-9.724928;
33,Jogging,49108062271000,3.568531,13.6748295,1.5390993;
33,Jogging,49108172348000,-0.50395286,3.8681788,3.718355;
33,Walking,49402232315000,0.6946377,6.2108784,-2.3426998;
33,Walking,49402342300000,1.2258313,10.923519,1.6889231;
33,Walking,49402452316000,3.214402,15.472715,0.8036005;
33,Walking,49402562301000,-5.938472,17.270601,0.3405087;
33,Walking,49402672348000,2.6423476,3.759216,-1.1441092;
33,Walking,49402782333000,-3.759216,2.6423476,0.040861044;
33,Walking,49402882461000,0.08172209,5.829509,6.8237944;
33,Walking,49402992294000,3.0645783,4.0180025,-4.4810944;
33,Walking,49403102310000,-0.23154591,8.240311,0.5720546;
33,Walking,49403202316000,-0.19068487,10.119919,0.9942854;
33,Walking,49403312301000,5.366417,13.102775,0.92618364;
33,Walking,49403422317000,0.313268,14.056199,-4.2904096;
33,Walking,49403532303000,3.636633,7.8861814,-0.46309182;
33,Walking,49403642318000,-0.7627395,0.46309182,-2.3699405;
33,Walking,49403752304000,1.4982382,17.815414,15.6634;
33,Walking,49403862289000,-3.8273177,15.5135765,-0.9942854;
33,Walking,49403972305000,0.08172209,9.915613,0.6537767;
33,Walking,49404082596000,-0.46309182,9.575105,0.46309182;
33,Walking,49404142288000,2.0294318,9.956474,0.61291564;
33,Walking,49404252304000,2.7649305,14.818938,1.2258313;
33,Walking,49404362289000,-4.372132,16.86199,-2.6014864;
33,Walking,49404472305000,2.6423476,5.6252036,-0.84446156;
33,Walking,49404572372000,-1.7978859,0.14982383,-2.2609777;
33,Walking,49404672317000,2.4925237,17.692831,14.669114;
33,Walking,49404782303000,-2.8738933,12.53072,0.53119355;
33,Walking,49404882278000,-2.7513103,11.563675,1.4982382;
